종목코드,종목명,운용사,수익률,총 보수
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),키움투자자산운용,-0.75,0.19
137610,TIGER 농산물선물Enhanced(H),미래에셋자산운용,-0.76,0.69
489000,PLUS 일본엔화초단기국채(합성),한화자산운용,-0.79,0.19
091160,KODEX 반도체,삼성자산운용,-0.8,0.45
160580,TIGER 구리실물,미래에셋자산운용,-0.81,0.83
471990,KODEX AI반도체핵심장비,삼성자산운용,-0.83,0.39
228790,TIGER 화장품,미래에셋자산운용,-0.88,0.5
091230,TIGER 반도체,미래에셋자산운용,-0.92,0.46
385710,TIMEFOLIO K이노베이션액티브,타임폴리오자산운용,-0.92,0.8
407170,KCGI 스마트커머스액티브,케이씨지아이자산운용,-0.96,0.445
271060,KODEX 3대농산물선물(H),삼성자산운용,-1.19,0.55
267440,RISE 미국장기국채선물(H),케이비자산운용,-1.23,0.4
380340,ACE Fn5G플러스,한국투자신탁운용,-1.29,0.35
280940,KODEX 골드선물인버스(H),삼성자산운용,-1.32,0.45
465660,TIGER 일본반도체FACTSET,미래에셋자산운용,-1.37,0.49
476800,KODEX 한국부동산리츠인프라,삼성자산운용,-1.38,0.09
476550,TIGER 미국30년국채커버드콜액티브(H),미래에셋자산운용,-1.43,0.39
360140,KODEX 200롱코스닥150숏선물,삼성자산운용,-1.46,0.64
228800,TIGER 여행레저,미래에셋자산운용,-1.52,0.5
469530,RISE 미국달러선물인버스,케이비자산운용,-1.56,0.05
480460,WON 한국부동산TOP3플러스,우리자산운용,-1.58,0.25
396500,TIGER Fn반도체TOP10,미래에셋자산운용,-1.59,0.45
453850,ACE 미국30년국채액티브(H),한국투자신탁운용,-1.68,0.05
261270,KODEX 미국달러선물인버스,삼성자산운용,-1.69,0.45
484790,KODEX 미국30년국채액티브(H),삼성자산운용,-1.72,0.015
461600,SOL 미국30년국채액티브(H),신한자산운용,-1.74,0.05
494310,KODEX 반도체레버리지,삼성자산운용,-1.76,0.49
139660,KIWOOM 미국달러선물인버스,키움투자자산운용,-1.79,0.49
200250,KIWOOM 인도Nifty50(합성),키움투자자산운용,-1.84,0.29
243880,TIGER 200IT레버리지,미래에셋자산운용,-1.84,0.63
0000H0,KODEX 인도Nifty미드캡100,삼성자산운용,-1.91,0.45
304660,KODEX 미국30년국채울트라선물(H),삼성자산운용,-1.91,0.3
418670,TIGER 글로벌AI사이버보안,미래에셋자산운용,-1.96,0.49
498610,RISE 인도디지털성장,케이비자산운용,-2.12,0.3
453810,KODEX 인도Nifty50,삼성자산운용,-2.13,0.19
364990,TIGER 게임TOP10,미래에셋자산운용,-2.24,0.4
0002C0,에셋플러스 인도일등기업포커스20액티브,에셋플러스자산운용,-2.28,0.99
481060,KODEX 미국30년국채타겟커버드콜(합성 H),삼성자산운용,-2.29,0.25
373530,PLUS 신흥국MSCI인버스(합성 H),한화자산운용,-2.34,0.5
469150,ACE AI반도체포커스,한국투자신탁운용,-2.35,0.3
442580,PLUS 글로벌HBM반도체,한화자산운용,-2.38,0.5
271050,KODEX WTI원유선물인버스(H),삼성자산운용,-2.44,0.35
267490,RISE 미국장기국채선물레버리지(합성 H),케이비자산운용,-2.57,0.5
453870,TIGER 인도니프티50,미래에셋자산운용,-2.58,0.19
217770,TIGER 원유선물인버스(H),미래에셋자산운용,-2.62,0.69
488080,TIGER 반도체TOP10레버리지,미래에셋자산운용,-2.65,0.49
459370,SOL 유럽탄소배출권선물인버스ICE(H),신한자산운용,-2.66,0.55
472870,RISE 미국30년국채엔화노출(합성 H),케이비자산운용,-2.71,0.15
402460,HANARO Fn K-메타버스MZ,엔에이치아문디자산운용,-2.71,0.45
407160,KCGI 테크미디어텔레콤액티브,케이씨지아이자산운용,-2.75,0.445
476750,ACE 미국30년국채엔화노출액티브(H),한국투자신탁운용,-2.81,0.15
365000,TIGER 인터넷TOP10,미래에셋자산운용,-2.91,0.4
