종목코드,종목명,운용사,평균 순자산총액,평균 거래대금,평균 거래량,평균 외국인보유비중
438560,SOL 국고채3년,신한자산운용,19928.0,52.0,506,0.0
474590,WON 반도체밸류체인액티브,우리자산운용,19808.0,1595.0,152307,0.08
409810,KODEX 미국나스닥100선물인버스(H),삼성자산운용,19754.0,1030.0,144959,0.35
491820,HANARO 전력설비투자,엔에이치아문디자산운용,19693.0,2551.0,141338,0.17
453950,TIGER TSMC파운드리밸류체인,미래에셋자산운용,19578.0,204.0,12451,3.56
447660,PLUS 애플채권혼합,한화자산운용,19560.0,163.0,13579,0.07
395150,KODEX 웹툰&드라마,삼성자산운용,19503.0,584.0,155351,0.07
459790,KIWOOM 미국성장기업30액티브,키움투자자산운용,19481.0,11.0,728,0.0
429760,PLUS 미국S&P500,한화자산운용,19406.0,145.0,9207,0.07
0010E0,ACE FTSE WGBI Korea,한국투자신탁운용,19284.0,20.0,199,0.0
117680,KODEX 철강,삼성자산운용,19273.0,1928.0,164370,0.12
459560,KODEX 테슬라밸류체인FactSet,삼성자산운용,19166.0,280.0,19278,0.07
494840,TIGER 미국방산TOP10,미래에셋자산운용,19154.0,753.0,71854,5.76
472720,TRUSTON 주주가치액티브,트러스톤자산운용,18716.0,451.0,28731,0.03
483570,KCGI 미국S&P500 TOP10,케이씨지아이자산운용,18636.0,72.0,5938,0.13
122090,PLUS 코스피50,한화자산운용,18511.0,303.0,10774,0.03
445690,BNK 주주가치액티브,비엔케이자산운용,18451.0,46.0,2556,0.0
365040,TIGER AI코리아그로스액티브,미래에셋자산운용,18391.0,400.0,25655,0.08
307510,TIGER 의료기기,미래에셋자산운용,18362.0,2688.0,158324,2.74
371870,ACE 차이나항셍테크,한국투자신탁운용,18144.0,299.0,38523,5.86
491830,TIGER 미국AI반도체팹리스,미래에셋자산운용,18032.0,873.0,72816,1.17
269420,KODEX S&P글로벌인프라(합성),삼성자산운용,17621.0,95.0,4899,0.0
428510,KODEX 차이나AI테크액티브,삼성자산운용,17516.0,132.0,11025,0.09
0069M0,1Q 미국나스닥100,하나자산운용,17512.0,2386.0,230770,0.0
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),키움투자자산운용,17493.0,431.0,41819,0.07
306950,KODEX KRX300레버리지,삼성자산운용,17479.0,106.0,5811,0.0
486240,DAISHIN343 AI반도체&인프라액티브,대신자산운용,17393.0,543.0,59939,0.01
489000,PLUS 일본엔화초단기국채(합성),한화자산운용,17353.0,643.0,63726,0.14
491510,파워 K-주주가치액티브,교보악사자산운용,17131.0,52.0,3929,0.0
213630,PLUS 미국다우존스고배당주(합성 H),한화자산운용,17066.0,98.0,5612,0.0
464610,SOL 의료기기소부장Fn,신한자산운용,17049.0,1583.0,124723,0.25
494420,PLUS 미국배당증가성장주데일리커버드콜,한화자산운용,16951.0,138.0,15127,0.03
407820,에셋플러스 코리아플랫폼액티브,에셋플러스자산운용,16887.0,57.0,6810,0.53
